devType = Accelerometer
id = 123456
sf = 10.0
start = 20250814T095000.000
comment = test run  
location = lab  
operator = al  
notes = messy header test  
extra = ignore  
X , Y , Z
0.01, -0.02, 0.98
0.02, -0.01, 0.97  
0.03,  0.00, 0.96  
0.02484, -0.02007, 0.95657
-0.02301, 0.04561, 1.02838
-0.02301, -0.03420, 1.06159
0.07615, -0.02341, 1.03079
-0.04634, -0.04663, 0.97817
-0.04634, 0.02420, 1.07617
0.02420, -0.04663, 0.97817
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
0.03517, -0.03517, 0.93517
-0.03517, 0.03517, 1.03517
0.03517, 0.03517, 0.93517
-0.03517, -0.03517, 1.03517
